region_code,region_name,lat_min,lat_max,lon_min,lon_max,wkt
AUS,Australia,-45,-11,110,155,"POLYGON ((110 -45, 110 -11, 155 -11, 155 -45, 110 -45))"
AMZ,Amazon Basin,-20,12,-82,-34,"POLYGON ((-82 -20, -82 12, -34 12, -34 -20, -82 -20))"
SSA,Southern South America,-56,-20,-75,-40,"POLYGON ((-75 -56, -75 -20, -40 -20, -40 -56, -75 -56))"
CAM,Central America,10,30,-116,-83,"POLYGON ((-116 10, -116 30, -83 30, -83 10, -116 10))"
WNA,Western North America,30,60,-130,-103,"POLYGON ((-130 30, -130 60, -103 60, -103 30, -130 30))"
CNA,Central North America,30,50,-103,-85,"POLYGON ((-103 30, -103 50, -85 50, -85 30, -103 30))"
ENA,Eastern North America,25,50,-85,-60,"POLYGON ((-85 25, -85 50, -60 50, -60 25, -85 25))"
ALA,Alaska,60,72,-170,-103,"POLYGON ((-170 60, -170 72, -103 72, -103 60, -170 60))"
GRL,Greenland,50,85,-103,-10,"POLYGON ((-103 50, -103 85, -10 85, -10 50, -103 50))"
MED,Mediterranean Basin,30,48,-10,40,"POLYGON ((-10 30, -10 48, 40 48, 40 30, -10 30))"
NEU,Northern Europe,48,75,-10,40,"POLYGON ((-10 48, -10 75, 40 75, 40 48, -10 48))"
WAF,Western Africa,-12,18,-20,22,"POLYGON ((-20 -12, -20 18, 22 18, 22 -12, -20 -12))"
EAF,Eastern Africa,-12,18,22,52,"POLYGON ((22 -12, 22 18, 52 18, 52 -12, 22 -12))"
SAF,Southern Africa,-35,-12,10,52,"POLYGON ((10 -35, 10 -12, 52 -12, 52 -35, 10 -35))"
SAH,Sahara,18,30,-20,65,"POLYGON ((-20 18, -20 30, 65 30, 65 18, -20 18))"
SEA,Southeast Asia,-11,12,95,155,"POLYGON ((95 -11, 95 5, 100 5, 100 20, 155 20, 155 -11, 95 -11))"
EAS,East Asia,20,50,100,145,"POLYGON ((100 20, 100 50, 145 50, 145 20, 100 20))"
SAS,South Asia,5,30,65,100,"POLYGON ((65 5, 65 30, 100 30, 100 5, 65 5))"
CAS,Central Asia,30,50,40,75,"POLYGON ((40 30, 40 50, 75 50, 75 30, 40 30))"
TIB,Tibet,30,50,75,100,"POLYGON ((75 30, 75 50, 100 50, 100 30, 75 30))"
NAS,North Asia,50,70,40,180,"POLYGON ((40 50, 40 70, 180 70, 180 50, 40 50))"
